Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44
I1,2003-09-28,Modena,Bologna,2,0,H,2,0,H,2.4,2.9,2.8,2.5,2.95,2.7,2.5,2.8,2.7,2.375,3.0,2.75,2.5,2.88,2.75,2.5,2.87,2.75,2.37,2.9,2.8,2.0,1.71,1.9,1.8,1.8,2.0,0.0,1.75,2.1,0.0,1.8,2.1,0.0,
I1,2003-09-28,Parma,Siena,1,1,D,0,1,A,1.5,3.4,6.5,1.51,3.3,6.75,1.45,3.8,5.4,1.4,3.75,7.0,1.44,3.5,7.0,1.44,3.6,7.0,1.44,3.5,7.0,1.65,2.05,1.8,1.9,1.9,1.9,-1.0,1.85,2.0,-1.0,1.925,1.975,-1.0,
I1,2003-09-28,Roma,Ancona,3,0,H,0,0,D,1.16,5.5,13.0,1.2,5.0,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.17,5.5,13.0,1.16,5.5,13.0,1.16,5.5,12.0,1.4,2.65,1.66,2.1,1.8,2.0,-1.75,1.9,1.95,-2.0,1.775,2.125,-1.75,
I1,2003-09-28,Sampdoria,Brescia,2,1,H,0,0,D,1.8,3.0,4.33,1.77,3.05,4.6,1.9,3.0,3.6,1.833,3.2,3.75,1.8,3.0,4.33,1.8,3.1,4.2,1.83,3.0,4.0,1.95,1.75,1.9,1.8,1.78,2.03,-0.5,2.05,1.8,-0.75,1.8,2.1,-0.5,
I1,2003-10-05,Ancona,Udinese,0,3,A,0,2,A,3.0,3.0,2.25,3.1,3.0,2.25,3.0,2.9,2.2,2.8,2.875,2.375,3.0,2.88,2.3,3.0,2.87,2.3,2.7,3.0,2.37,2.0,1.71,2.0,1.72,1.9,1.9,0.25,1.9,1.95,0.25,1.95,1.95,0.25,
I1,2003-10-05,Empoli,Modena,0,3,A,0,0,D,2.1,3.0,3.25,2.15,3.0,3.3,2.1,2.8,3.3,2.1,3.0,3.2,2.1,2.88,3.4,2.1,2.87,3.4,2.1,2.87,3.3,2.15,1.6,2.0,1.72,1.9,1.9,-0.25,1.9,1.95,-0.25,1.85,2.05,-0.25,
I1,2003-10-05,Inter,Milan,1,3,A,0,1,A,2.62,2.8,2.62,2.65,2.8,2.7,2.6,2.8,2.6,2.5,2.875,2.625,2.6,2.88,2.6,2.6,2.87,2.6,2.6,2.8,2.6,2.0,1.71,1.9,1.8,1.9,1.9,0.0,1.95,1.9,0.0,1.975,1.925,0.0,
I1,2003-10-05,Juventus,Bologna,2,1,H,1,1,D,1.3,4.33,9.0,1.35,4.0,9.0,1.3,4.0,8.5,1.364,3.6,9.0,1.3,4.33,8.5,1.3,4.33,8.5,1.3,4.2,8.5,1.85,1.85,1.72,2.0,1.8,2.0,-1.25,2.05,1.8,-1.5,1.8,2.1,-1.25,
I1,2003-10-05,Lazio,Chievo,1,0,H,0,0,D,1.61,3.2,5.5,1.71,3.15,5.0,1.7,3.1,4.4,1.667,3.25,4.5,1.62,3.2,5.5,1.61,3.2,5.5,1.57,3.3,5.5,1.65,2.05,1.72,2.0,2.0,1.8,-0.75,2.0,1.85,-0.75,1.95,1.95,-0.75,
I1,2003-10-05,Lecce,Brescia,1,4,A,1,1,D,2.1,3.0,3.25,2.1,3.0,3.4,2.1,2.8,3.3,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.2,2.87,3.1,2.0,1.71,1.9,1.8,1.85,1.95,-0.25,,,,2.125,1.775,-0.5,
I1,2003-10-05,Parma,Sampdoria,1,0,H,1,0,H,1.61,3.2,5.5,1.71,3.15,5.0,1.65,3.2,4.6,1.727,3.2,4.333,1.67,3.2,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.75,1.9,1.95,-0.75,1.85,2.05,-0.75,
I1,2003-10-05,Perugia,Reggina,0,0,D,0,0,D,1.9,2.9,4.0,1.85,3.0,4.35,1.85,3.0,3.8,1.833,3.0,4.0,1.8,3.0,4.33,1.8,3.0,4.33,1.9,2.87,4.0,1.95,1.75,1.9,1.8,1.85,1.95,-0.5,1.85,2.0,-0.5,1.9,2.0,-0.5,
I1,2003-10-05,Siena,Roma,0,0,D,0,0,D,4.33,3.0,1.8,4.0,3.2,1.85,3.6,3.1,1.85,4.0,3.0,1.833,4.33,3.25,1.73,4.33,3.2,1.75,4.2,3.0,1.8,1.75,1.95,1.83,1.83,1.95,1.85,0.5,1.95,1.9,0.5,1.95,1.95,0.5,
I1,2003-10-18,Ancona,Juventus,2,3,A,0,2,A,7.0,3.6,1.44,8.0,3.8,1.4,5.4,3.8,1.45,6.5,3.6,1.444,7.0,3.5,1.44,7.0,3.6,1.44,7.0,3.5,1.44,1.75,1.95,1.72,2.0,1.9,1.9,1.25,1.9,1.95,1.25,1.9,2.0,1.25,
I1,2003-10-18,Brescia,Inter,2,2,D,1,0,H,3.25,3.0,2.1,3.85,3.0,2.0,3.3,3.0,2.0,3.4,3.0,2.0,3.75,2.88,2.0,3.75,2.87,2.0,3.6,2.87,2.0,1.95,1.75,1.83,1.83,1.8,2.0,0.5,2.05,1.8,0.25,2.1,1.8,0.25,
I1,2003-11-01,Milan,Juventus,1,1,D,0,0,D,2.25,2.8,3.2,2.35,2.8,3.0,2.3,2.8,2.9,2.38,2.88,2.8,2.25,2.88,3.1,2.25,2.88,3.1,2.3,2.8,3.0,2.0,1.71,1.9,1.8,1.8,2.0,0.0,2.05,1.8,-0.25,2.05,1.85,-0.25,
I1,2003-11-01,Udinese,Lazio,1,2,A,1,2,A,2.62,3.0,2.5,2.75,2.8,2.55,2.7,2.9,2.4,2.75,3.0,2.38,2.7,2.88,2.5,2.7,2.88,2.5,2.8,2.87,2.4,1.85,1.85,1.9,1.8,1.95,1.85,0.0,1.95,1.9,0.0,2.0,1.9,0.0,
I1,2003-11-02,Ancona,Siena,0,0,D,0,0,D,2.37,3.0,2.75,2.55,2.85,2.7,2.4,2.8,2.8,2.62,2.88,2.5,2.4,2.9,2.8,2.4,2.9,2.8,2.37,2.87,2.8,1.85,1.85,2.05,1.7,1.86,1.95,0.0,1.85,2.0,0.0,1.8,2.1,0.0,
I1,2003-11-02,Bologna,Sampdoria,0,1,A,0,1,A,2.0,3.0,3.5,2.1,2.85,3.5,2.1,2.7,3.5,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.8,3.4,1.85,1.85,1.83,1.83,1.75,2.05,-0.25,1.75,2.1,-0.25,1.775,2.125,-0.25,
I1,2003-11-02,Brescia,Parma,2,3,A,2,2,D,2.75,3.0,2.37,2.75,2.8,2.55,2.8,2.8,2.4,2.5,2.88,2.62,2.75,3.0,2.4,2.75,3.0,2.4,2.62,2.9,2.5,1.85,1.85,1.83,1.83,1.95,1.85,0.0,2.0,1.85,0.0,2.0,1.9,0.0,
I1,2003-11-02,Chievo,Inter,0,2,A,0,0,D,2.87,3.0,2.3,3.1,2.95,2.2,2.7,2.9,2.4,2.88,3.0,2.25,3.1,3.0,2.2,3.1,3.0,2.2,3.0,2.87,2.25,1.95,1.75,1.83,1.83,1.55,2.3,0.5,1.85,2.0,0.25,1.8,2.1,0.25,
I1,2003-11-02,Lecce,Empoli,2,1,H,2,0,H,1.72,2.9,5.0,1.65,3.2,5.1,1.75,3.0,4.4,1.73,2.88,5.0,1.75,3.0,4.75,1.75,3.0,4.75,1.8,3.0,4.2,1.75,1.95,1.8,1.9,1.95,1.85,-0.75,1.95,1.9,-0.75,2.05,1.85,-0.75,
I1,2003-11-02,Modena,Perugia,1,0,H,0,0,D,1.9,3.0,3.8,2.0,3.0,3.8,1.85,2.9,4.0,2.0,3.0,3.4,1.91,3.1,3.75,1.91,3.1,3.75,2.0,2.87,3.6,2.0,1.71,2.0,1.72,1.95,1.85,-0.5,1.95,1.9,-0.5,2.05,1.85,-0.5,
I1,2003-11-02,Roma,Reggina,2,0,H,1,0,H,1.2,5.0,12.0,1.25,4.75,10.0,1.25,4.3,10.0,1.25,4.5,10.0,1.25,4.75,10.0,1.25,4.75,10.0,1.22,4.5,12.0,1.55,2.25,1.66,2.1,1.85,1.95,-1.5,1.85,2.0,-1.5,1.9,2.0,-1.5,
I1,2003-11-08,Brescia,Bologna,0,0,D,0,0,D,2.0,3.0,3.5,2.0,3.0,3.7,2.0,2.8,3.6,2.0,2.875,3.6,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.87,3.3,1.95,1.75,1.83,1.83,1.9,1.9,-0.25,1.9,1.95,-0.25,1.9,2.0,-0.25,
I1,2003-11-08,Sampdoria,Empoli,2,0,H,2,0,H,1.5,3.4,6.5,1.45,3.7,7.0,1.5,3.5,5.4,1.444,3.5,7.0,1.5,3.4,6.5,1.5,3.4,6.5,1.44,3.6,6.5,1.75,1.95,1.8,1.9,1.95,1.85,-1.25,1.95,1.9,-1.25,2.075,1.825,-1.25,
I1,2003-11-09,Inter,Ancona,3,0,H,1,0,H,1.14,6.0,13.0,1.18,5.25,14.0,1.2,4.8,11.0,1.167,5.0,13.0,1.17,5.5,13.0,1.16,5.5,13.0,1.14,6.0,12.0,1.65,2.05,1.66,2.1,1.9,1.9,-1.75,1.9,1.95,-1.75,1.85,2.05,-1.75,
I1,2003-11-09,Juventus,Udinese,4,1,H,0,0,D,1.33,4.2,8.0,1.32,4.35,8.82,1.33,4.0,7.5,1.286,4.333,9.0,1.3,4.33,8.5,1.3,4.33,8.5,1.28,4.33,8.5,1.75,1.95,1.75,1.95,1.9,1.9,-1.25,1.9,1.95,-1.25,1.975,1.925,-1.25,
I1,2003-11-09,Parma,Milan,0,0,D,0,0,D,3.0,3.0,2.25,3.15,3.05,2.2,2.8,2.9,2.3,3.0,2.875,2.25,2.88,2.88,2.38,3.0,2.87,2.3,3.2,2.8,2.2,1.95,1.75,1.9,1.8,1.9,1.9,0.25,1.95,1.9,0.25,1.85,2.05,0.25,
I1,2003-11-09,Perugia,Lecce,2,2,D,1,1,D,1.9,2.9,4.0,1.85,3.15,4.1,1.8,2.9,4.2,1.833,3.0,4.0,1.83,3.0,4.33,1.83,3.0,4.2,1.9,2.87,4.0,1.85,1.85,1.8,1.9,1.85,1.95,-0.5,1.85,2.0,-0.5,1.925,1.975,-0.5,
I1,2003-11-09,Reggina,Modena,1,1,D,1,1,D,2.1,3.0,3.25,2.05,3.0,3.45,1.9,2.9,3.8,2.0,3.0,3.4,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.8,3.4,,,1.95,1.75,1.8,2.0,-0.25,1.8,2.05,-0.25,1.85,2.05,-0.25,
I1,2004-01-06,Brescia,Siena,4,2,H,2,1,H,2.0,3.0,3.5,2.2,2.7,3.5,2.2,2.6,3.3,2.0,2.8,3.75,2.1,2.8,3.5,2.1,2.8,3.5,2.0,2.75,3.8,2.0,1.71,,,1.85,2.0,-0.25,1.8,2.05,-0.25,1.875,2.025,-0.25,
I1,2004-01-06,Inter,Lecce,3,1,H,0,1,A,1.2,5.0,12.0,1.2,5.5,11.0,1.2,5.0,10.0,1.22,5.0,10.0,1.2,5.25,11.0,1.2,5.25,11.0,1.16,5.5,12.0,1.55,2.25,,,1.95,1.9,-1.5,1.9,1.95,-1.5,1.95,1.95,-1.5,
I1,2004-01-06,Juventus,Perugia,1,0,H,1,0,H,1.2,5.0,12.0,1.2,5.5,11.0,1.25,4.5,9.0,1.2,5.0,11.0,1.2,5.25,11.0,1.2,5.25,11.0,1.2,5.0,11.0,1.5,2.35,,,1.85,2.0,-1.5,1.85,2.0,-1.5,1.8,2.1,-1.5,
I1,2004-01-06,Modena,Chievo,0,3,A,0,1,A,2.25,3.0,3.0,2.3,2.8,3.15,2.2,2.8,3.1,2.25,2.88,3.0,2.25,2.88,3.1,2.25,2.88,3.1,2.3,2.8,3.0,2.15,1.6,,,2.05,1.8,-0.25,2.0,1.85,-0.25,2.0,1.9,-0.25,
I1,2004-01-06,Reggina,Lazio,2,1,H,0,1,A,3.5,3.0,2.0,3.25,2.95,2.15,3.2,2.9,2.1,3.4,3.0,2.0,3.25,3.0,2.1,3.25,3.0,2.1,3.8,2.75,2.0,1.9,1.79,,,1.85,2.0,0.25,1.85,2.0,0.25,1.9,2.0,0.25,
I1,2004-01-06,Roma,Milan,1,2,A,1,1,D,2.2,3.0,3.5,2.0,2.9,3.75,2.0,2.8,3.6,2.0,3.0,3.4,2.1,2.88,3.5,2.05,2.88,3.6,2.1,2.87,3.3,1.95,1.75,,,1.95,1.9,-0.25,1.9,1.95,-0.25,1.95,1.95,-0.25,
I1,2004-01-06,Udinese,Sampdoria,0,1,A,0,0,D,1.9,3.0,4.0,2.0,2.8,4.0,2.1,2.7,3.5,1.91,2.88,4.0,2.0,2.88,3.75,2.0,2.88,3.75,2.0,2.75,3.8,2.0,1.71,,,1.8,2.05,-0.25,,,,1.775,2.125,-0.25,
I1,2004-01-10,Chievo,Udinese,0,0,D,0,0,D,2.1,3.0,3.25,2.25,2.95,3.1,2.2,2.9,3.0,2.1,3.0,3.2,2.1,3.0,3.25,2.1,3.0,3.25,2.1,2.87,3.3,1.9,1.79,1.9,1.9,1.95,1.9,-0.25,1.9,1.95,-0.25,1.95,1.95,-0.25,
I1,2004-01-10,Parma,Inter,1,0,H,1,0,H,,,,3.45,3.15,2.0,3.1,3.0,2.1,3.0,3.2,2.1,3.5,3.2,1.91,3.3,3.2,2.0,3.4,3.0,2.0,1.9,1.79,,,1.85,2.0,0.5,1.8,2.05,0.5,,,,
I1,2004-01-11,Empoli,Ancona,2,0,H,0,0,D,1.8,3.0,4.33,1.8,3.1,4.5,1.85,2.9,4.0,1.8,3.2,4.0,1.83,3.0,4.2,1.83,3.0,4.2,1.8,2.9,4.5,2.05,1.65,2.05,1.75,2.0,1.85,-0.75,1.95,1.9,-0.75,2.05,1.85,-0.75,
I1,2004-01-11,Lazio,Brescia,0,1,A,0,1,A,1.5,3.4,6.5,1.55,3.4,6.25,1.5,3.4,5.6,1.5,3.25,6.5,1.53,3.5,5.5,1.53,3.4,6.0,1.44,3.5,7.0,1.75,1.95,1.8,2.0,1.95,1.9,-0.75,1.95,1.9,-0.75,1.95,1.95,-0.75,
I1,2004-01-11,Lecce,Bologna,1,2,A,1,1,D,2.25,3.0,3.0,2.28,2.85,3.15,2.2,2.7,3.2,2.25,2.75,3.2,2.3,2.8,3.1,2.3,2.8,3.1,2.25,2.75,3.2,2.05,1.65,2.1,1.7,2.05,1.8,-0.25,2.05,1.8,-0.25,2.05,1.85,-0.25,
I1,2004-01-11,Milan,Reggina,3,1,H,1,1,D,1.25,4.5,11.0,1.23,5.0,12.0,1.22,4.8,9.5,1.22,5.0,10.0,1.25,4.75,10.0,1.25,4.75,10.0,1.2,5.0,11.0,1.71,2.0,1.75,2.05,1.9,1.95,-1.5,1.95,1.9,-1.5,1.975,1.925,-1.5,
I1,2004-01-11,Perugia,Roma,0,1,A,0,1,A,5.5,3.0,1.66,4.85,3.15,1.72,4.0,3.2,1.75,5.0,3.25,1.62,4.75,3.1,1.73,4.75,3.1,1.73,5.5,2.9,1.66,1.79,1.9,1.85,1.95,2.05,1.8,0.5,2.0,1.85,0.5,2.075,1.825,0.5,
I1,2004-01-11,Sampdoria,Juventus,1,2,A,0,1,A,4.2,3.1,1.9,4.25,3.1,1.85,3.6,3.0,1.9,4.0,3.2,1.8,3.75,3.1,1.91,3.75,3.1,1.91,4.2,3.0,1.8,1.9,1.79,1.95,1.85,2.0,1.85,0.5,1.9,1.95,0.5,1.95,1.95,0.5,
I1,2004-01-11,Siena,Modena,4,0,H,2,0,H,1.9,2.9,4.0,2.0,2.85,4.0,2.0,2.7,3.8,1.8,3.2,4.0,2.0,2.88,3.75,2.0,2.88,3.75,1.9,3.0,3.75,2.0,1.71,2.15,1.66,2.0,1.85,-0.5,2.05,1.8,-0.5,2.05,1.85,-0.5,
I1,2004-01-17,Modena,Lazio,1,1,D,0,1,A,2.87,3.2,2.2,3.1,3.0,2.2,2.7,3.0,2.3,2.88,3.0,2.25,3.0,3.0,2.25,3.0,3.0,2.25,3.2,2.8,2.2,2.0,1.71,2.05,1.75,1.85,2.0,0.25,1.9,1.95,0.25,1.9,2.0,0.25,
